,Yield of 3aa
0,0.0
1,0.0
2,0.0
3,20.63
4,0.0
5,4.61
6,0.0
7,0.0
8,3.1
9,23.55
10,19.23
11,33.45
12,13.89
13,22.09
14,3.2
15,20.31
16,0.0
17,2.12
18,0.31
19,3.38
20,10.92
21,4.91
22,0.67
23,0.0
24,16.69
25,33.99
26,1.3
27,3.77
28,2.21
29,0.0
30,1.39
31,33.53
32,11.27
33,2.1
34,25.03
35,18.38
36,8.28
37,1.75
38,37.41
39,30.18
40,30.3
41,1.67
42,8.11
43,8.58
44,4.0
45,1.37
46,48.52
47,13.11
48,41.82
49,3.33
50,1.69
51,3.11
52,22.43
53,14.04
54,0.65
55,12.43
56,23.83
57,13.84
58,9.55
59,6.59
60,26.71
61,0.0
62,12.49
63,9.62
64,13.06
65,64.47
66,59.01
67,3.29
68,1.62
69,0.41
70,2.65
71,10.77
72,16.24
73,32.51
74,6.41
75,1.21
76,5.57
77,9.61
78,1.43
79,4.97
80,34.54
81,30.55
82,39.52
83,18.42
84,0.38
85,2.95
86,37.4
87,2.75
88,0.0
89,0.0
90,0.0
91,20.63
92,0.0
93,4.61
94,0.0
95,0.0
96,26.6
97,33.96
98,27.45
99,17.66
100,23.16
101,30.84
102,0.0
103,34.85
104,7.34
105,34.88
106,34.51
107,19.41
108,45.36
109,30.09
110,29.43
111,33.06
112,29.21
113,31.03
114,5.53
115,21.86
116,35.92
117,27.06
118,42.58
119,16.72
120,22.05
121,22.27
122,29.01
123,22.73
124,44.64
125,27.59
126,21.14
127,24.18
128,30.29
129,14.46
130,14.55
131,37.45
132,5.65
133,15.56
134,37.9
135,14.22
136,43.98
137,30.73
138,62.33
139,33.37
140,25.45
141,26.44
142,20.07
143,65.17
144,16.97
145,10.86
146,73.58
147,47.36
148,56.24
149,59.07
150,43.18
151,20.53
152,0.0
153,0.0
154,62.02
155,47.68
156,0.0
157,75.29
158,64.95
159,85.51
160,4.1
161,8.07
162,67.93
163,7.01
164,13.96
165,87.2
166,74.88
167,26.63
168,53.35
169,22.88
170,60.61
171,77.58
172,71.21
173,5.62
174,82.58
175,67.38
176,0.0
177,0.0
178,0.0
179,20.63
180,0.0
181,4.61
182,0.0
183,0.0
184,23.35
185,19.58
186,10.88
187,1.25
188,0.0
189,0.74
190,1.8
191,0.63
192,16.35
193,15.57
194,25.23
195,5.3
196,10.76
197,4.29
198,2.95
199,0.39
200,8.82
201,25.04
202,45.27
203,29.29
204,54.48
205,10.18
206,4.5
207,5.91
208,39.26
209,25.49
210,55.82
211,9.11
212,26.67
213,26.7
214,32.34
215,6.56
216,66.9
217,48.73
218,47.5
219,7.33
220,23.59
221,2.9
222,56.48
223,42.81
224,78.18
225,21.94
226,18.17
227,10.49
228,25.92
229,9.79
230,5.45
231,11.74
232,70.23
233,24.1
234,51.88
235,1.86
236,10.83
237,52.42
238,38.37
239,47.07
240,9.57
241,71.22
242,38.58
243,49.85
244,26.13
245,59.25
246,0.77
247,10.72
248,63.53
249,45.67
250,42.19
251,61.66
252,8.41
253,0.0
254,43.53
255,10.83
256,74.9
257,67.8
258,8.12
259,3.73
260,1.18
261,0.0
262,0.45
263,4.74
